순번,쉼터명칭,사용여부,도로명주소,지번주소,시설유형,시설면적,이용가능인원,운영시작일,운영종료일,평일개방여부,평일 개방시간,평일 종료시간,토요일개방여부,토요일 개방시간,토요일 종료시간,일요일 개방여부,일요일 개방시간,일요일 종료시간,공휴일 개방여부,공휴일 개방시간,공휴일 종료시간,경도,위도,비고,X좌표,Y좌표,야간개방
1124,무궁화경로당,Y,서울특별시 관악구 난곡로26다길 17,서울특별시 관악구 신림동 646-7,노인시설,246,31,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9245169,37.4700094,한파특보 발효시 운영,193322.7043,541178.2399,
1125,법원경로당,Y,서울특별시 관악구 법원단지25길 15,서울특별시 관악구 신림동 610-47,노인시설,188,24,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.922893,37.4758019,한파특보 발효시 운영,193179.5791,541821.2459,
1126,우림경로당,Y,서울특별시 관악구 난곡로24가길 19-4 ,서울특별시 관악구 신림동 638-62,노인시설,268,34,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.921772,37.469943,한파특보 발효시 운영,193079.882,541171.0685,
1127,중앙노인종합복지관,Y,서울특별시 서초구 서초대로54길 45,서울특별시 서초구 서초동 1666-17,복지회관,155,10,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.016803,37.492289,,201485.9655,543648.4356,
1128,서초1동주민센터,Y,서울특별시 서초구 사임당로 89,서울특별시 서초구 서초동 1649-5,주민센터,197,20,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.019443,37.49014,한파특보 발령 시 평일 18:00~21:00 연장 운영,201719.482,543409.9698,
1129,서초1동 경로당,Y,서울특별시 서초구 효령로68길 49-3 ,서울특별시 서초구 서초동 1436-6,노인시설,198,25,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.02249,37.485434,,201989.0745,542887.7259,
1130,서초2동 주민센터,Y,서울특별시 서초구 서초대로70길 51,서울특별시 서초구 서초동 1332-6,주민센터,"2,383.00",20,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0249316,37.4920493,한파특보 발령 시 평일 18:00~21:00 연장 운영,202204.8216,543621.9914,
1131,서초2동 경로당,Y,서울특별시 서초구 강남대로45길 17-2 ,서울특별시 서초구 서초동 1357-48,노인시설,179,30,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0308916,37.4879585,,202732.0421,543168.1227,
1132,서초3동 주민센터,Y,서울특별시 서초구 반포대로 34,서울특별시 서초구 서초동 1459-12,주민센터,690,30,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0120409,37.4836596,한파특보 발령 시 평일 18:00~21:00 연장 운영,201064.9539,542690.6215,
1133,서초구립 하명달 경로당,Y,서울특별시 서초구 반포대로23길 51-6 ,서울특별시 서초구 서초동 1506-11,노인시설,82,15,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0057763,37.4885833,,200510.8496,543237.0347,
1134,서초3동 경로당(서초느티나무쉼터),Y,서울특별시 서초구 반포대로1길 53-3 ,서울특별시 서초구 서초동 1484-6,노인시설,150.38,15,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0108742,37.4828124,,200961.7763,542596.581,
1135,예술의마을 경로당,Y,서울특별시 서초구 남부순환로323길 44-15 ,서울특별시 서초구 서초동 1455-4,노인시설,79,15,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0144764,37.4832552,,201280.3679,542645.7688,
1136,서초느티나무쉼터,Y,서울특별시 서초구 반포대로1길 53-3 ,서울특별시 서초구 서초동 1484-6,노인시설,697.22,10,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0108796,37.4828153,,200962.2539,542596.9029,
1137,서초4동 주민센터,Y,서울특별시 서초구 서운로26길 3,서울특별시 서초구 서초동 1302-6,주민센터,86.31,26,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0221797,37.5026915,한파특보 발령 시 평일 18:00~21:00 연장 운영,201961.1794,544803.0763,
1138,명달 경로당,Y,서울특별시 서초구 서운로23길 17,서울특별시 서초구 서초동 1313-17,노인시설,132,33,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0209822,37.4985307,,201855.3967,544341.2571,
1139,장안 경로당,Y,서울특별시 서초구 서초대로55길 13,서울특별시 서초구 서초동 1697-18,노인시설,172,43,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0153395,37.4959159,,201356.476,544050.952,
1140,서초구립 주흥경로당,Y,서울특별시 서초구 신반포로41길 30,서울특별시 서초구 잠원동 44-11,노인시설,91,15,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0166064,37.5111596,,201468.2097,545742.8252,
1141,잠원동 주민센터,Y,서울특별시 서초구 나루터로 38,서울특별시 서초구 잠원동 58-27,주민센터,"1,943.00",20,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0139641,37.5149576,한파특보 발령 시 평일 18:00~21:00 연장 운영,201234.5354,546164.3169,
1142,잠원동 경로당,Y,서울특별시 서초구 강남대로107길 24,서울특별시 서초구 잠원동 7-9,노인시설,214,20,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0173141,37.5178786,,201530.6419,546488.5602,
1143,반포복지관 경로당 시니어라운지,Y,서울특별시 서초구 사평대로55길 90,서울특별시 서초구 반포동 724-12,노인시설,125.46,20,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0212731,37.5078854,,201880.8855,545379.5139,
1144,반포1동 IT센터 시니어라운지,Y,서울특별시 서초구 사평대로 273,서울특별시 서초구 반포동 20-48,노인시설,60,15,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.013382,37.5050853,,201183.229,545068.6102,
1145,반포1동 주민센터,Y,서울특별시 서초구 사평대로 273,서울특별시 서초구 반포동 20-48,주민센터,650,50,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0133983,37.5050952,한파특보 발령 시 평일 18:00~21:00 연장 운영,201184.6701,545069.7092,
1146,반포복지관 경로당,Y,서울특별시 서초구 사평대로55길 90,서울특별시 서초구 반포동 724-12,노인시설,117,30,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.021265,37.5078662,,201880.1698,545377.3827,
1147,반포1동경로당,Y,서울특별시 서초구 사평대로55길 90,서울특별시 서초구 반포동 724-12,노인시설,115,20,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,127.0212779,37.5078959,,201881.3096,545380.6793,
1148,반포2동 경로당 시니어라운지,Y,서울특별시 서초구 신반포로15길 28,서울특별시 서초구 반포동 4-2,노인시설,99,20,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9948882,37.505098,,199548.0175,545069.9479,
