"순번","행정동 이름","시설 이름","주소","시설유형","이용가능인원","평일이용시간","주말이용시간","회원제 여부","X좌표","Y좌표","면적","비고"
"179","동대문구","휘경2동경로당","서울특별시 동대문구 망우로20가길 34-6 (휘경동)","노인시설","20","09시 ~ 18시","","","205722.646943","554511.813426","",""
"180","동대문구","진성경로당","서울특별시 동대문구 이문로16길 19 (이문동)","노인시설","10","09시 ~ 18시","","","205275.207080","554975.312087","",""
"181","동대문구","신이문경로당","서울특별시 동대문구 신이문로8길 32 (이문동)","노인시설","20","09시 ~ 18시","","","205597.229326","555772.002496","",""
"60","관악구","신본경로당","관악구 남부순환로200다길 7","노인시설","80","09시 ~ 18시","09시 ~ 18시","","194393.581703","542570.629535","",""
"61","광진구","소능경로당","광진구 자양로37길 85(구의2동, 소능경로당)","노인시설","40","09시 ~ 18시","","","207594.540621","549796.522263","",""
"62","광진구","아차산경로당","광진구 자양로47길 9-4(구의2동, 아차산경로당)","노인시설","30","09시 ~ 18시","","","208097.942323","550298.298936","",""
"63","광진구","자양2동제2경로당","광진구 뚝섬로62길 17(자양동, 자양2동 제2경로당)","노인시설","20","09시 ~ 18시","","","207792.385624","548122.142088","",""
"64","구로구","가리봉동 주민센터","구로구 우마2길 35","동주민센터","20","09시 ~ 18시","","","190246.228278","542572.186013","",""
"65","구로구","개봉1동주민센터","구로구 경인로33길 51","동주민센터","20","09시 ~ 18시","","","186837.850254","544538.944109","",""
"66","구로구","개봉2동 주민센터","구로구 개봉로16가길 17","동주민센터","10","09시 ~ 18시","","","187317.389174","543483.097972","",""
"67","구로구","개봉3동주민센터","구로구 개봉로3길 47-5","동주민센터","20","09시 ~ 18시","","","187073.164721","542959.715003","",""
"68","구로구","고척1동주민센터","구로구 중앙로3길 18-8","동주민센터","20","09시 ~ 18시","","","187868.064457","544556.916992","",""
"69","구로구","고척2동 주민센터","구로구 중앙로15길 22","동주민센터","20","09시 ~ 18시","","","187497.659934","545256.181865","",""
"70","구로구","구로1동주민센터","구로구 구일로4길 57","동주민센터","20","09시 ~ 18시","","","189015.502305","543738.900522","",""
"71","구로구","구로2동주민센터","구로구 구로동로 141","동주민센터","20","09시 ~ 18시","","","189689.240120","543551.320365","",""
"72","구로구","구로3동주민센터","구로구 디지털로31길 109","동주민센터","20","09시 ~ 18시","","","190300.627482","543105.986832","",""
