순번,행정동 이름,시설 이름,주소,시설유형,이용가능인원,평일이용시간,주말이용시간,회원제 여부,X좌표,Y좌표,면적,비고,경도,위도
115,서초구,반포2동주민센터,서초구 신반포로15길 16,주민센터,30,09시 ~ 18시,,,199511.189722,545013.059843,,,126.99447172500172,37.504585416613516
116,서초구,방배2동주민센터,서초구  청두곶길 36,주민센터,30,09시 ~ 18시,,,198721.831573,542257.45153,,,126.98554914200461,37.479756429582935
117,서초구,양재1동주민센터,서초구 바우뫼로 41,주민센터,30,09시 ~ 18시,,,202359.285326,541358.938954,,,127.0266709910041,37.47165861658211
118,성동구,마장국민체육센터,"성동구 마조로11길 6,(마장동)",기타,30,06시 ~ 22시,06시 ~ 20시,,203604.434487,551398.489654,,,127.04079622799519,37.562111285672835
119,성동구,성동구민종합체육센터,성동구 왕십리로 89(성수동1가),기타,40,06시 ~ 22시,09시 ~ 18시,,203892.368318,549596.734252,,,127.04404560600373,37.54587634166037
120,성동구,성동책마루,성동구 고산자로 270(행당동),기타,100,09시 ~ 21시,09시 ~ 21시,,203260.850137,551544.493279,,,127.03690807199634,37.56342805267836
121,성동구,열린금호교육문화관,성동구 무수막길 69(금호동2가),기타,55,06시 ~ 22시,06시 ~ 20시,,201833.759474,550264.520272,,,127.02075228799484,37.551899475667305
122,성동구,서울숲 복합문화체육센터,서울 성동구 성수동1가 685-63,기타,60,06시 ~ 22시,,,203663.375323,550012.939008,,,127.04145642418455,37.54962727875
123,성북구,스마트 에코 쉼터,서울특별시 성북구 정릉로 367-2,기타,15,24시간,24시간,,202125.114225,555855.598718,,,127.02406569799626,37.60227414571436
124,송파구,송파어린이도서관,송파구 올림픽로 105,도서관,15,09시 ~ 18시,,,207287.657191,545850.489858,,,127.08242913699692,37.51210206962386
125,송파구,잠실역 8번출구 미세먼지 프리존,서울시 송파구 신천동 8,기타,10,05:00-24:00,,,209030.037029,546068.989052,,,127.1021394808288,37.51405535628239
