"년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"2025","1129068500","008","성북제일새마을금고 길음2동지점","서울특별시 성북구 동소문로 295","","60.00","15","","20240520","20240930","127.027692","37.606746","202445.152047","556351.991440"
"2025","1129068500","005","길음2동 주민센터","서울특별시 성북구 삼양로2길 70","","66.00","10","","20240520","20240930","127.027271","37.606764","202408.030396","556353.967279"
"2025","1129068500","002","길음종합사회복지관","서울특별시 성북구 삼양로2길 55","","1,756.00","967","","20240520","20240930","127.026777","37.606669","202364.360507","556343.466244"
"2025","1129068500","001","길음2동(전 :길음3동)경로당","서울특별시 성북구 삼양로12길 6","","26.00","50","","20240520","20240930","127.023143","37.609990","202043.389242","556711.997876"
"2025","1129070500","001","북바위경로당","서울특별시 성북구 종암로19다길 23","","58.58","30","","20240520","20240930","127.028233","37.599075","202493.248677","555500.575929"
"2025","1129070500","001","종일사랑방경로당","서울특별시 성북구 종암로13가길 31","","51.70","36","","20240520","20240930","127.033386","37.597559","202948.317927","555332.554839"
"2025","1129070500","001","종암동제2경로당","서울특별시 성북구 월곡로5나길 37","","49.15","38","","20240520","20240930","127.036964","37.598805","203264.246520","555470.887662"
"2025","1129070500","002","성북노인종합복지관","서울특별시 성북구 종암로15길 10","","2,595.00","648","","20240520","20240930","127.034394","37.597788","203037.351885","555357.959031"
"2025","1129070500","005","종암동 주민센터","서울특별시 성북구 종암로 98-8 ","","974.00","200","","20240520","20240930","127.035199","37.599030","203108.380939","555495.833578"
"2025","1129070500","001","중앙경로당","서울특별시 성북구 종암로22길 29","","50.00","30","","20240520","20240930","127.035725","37.600124","203154.758528","555617.317382"
"2025","1129070500","001","종암동제1경로당","서울특별시 성북구 종암로21길 81-26 ","","117.12","32","","20240520","20240930","127.031122","37.601846","202748.243460","555808.217983"
